Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting
WS2016,System,Security System Extension,{0CCE9211-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,System Integrity,{0CCE9212-69AE-11D9-BED3-505054503030},Success and Failure,
WS2016,System,IPsec Driver,{0CCE9213-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Other System Events,{0CCE9214-69AE-11D9-BED3-505054503030},Success and Failure,
WS2016,System,Security State Change,{0CCE9210-69AE-11D9-BED3-505054503030},Success,
WS2016,System,Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,
WS2016,System,Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Success,
WS2016,System,Account Lockout,{0CCE9217-69AE-11D9-BED3-505054503030},Success,
WS2016,System,IPsec Main Mode,{0CCE9218-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,IPsec Quick Mode,{0CCE9219-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,IPsec Extended Mode,{0CCE921A-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Special Logon,{0CCE921B-69AE-11D9-BED3-505054503030},Success,
WS2016,System,Other Logon/Logoff Events,{0CCE921C-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Network Policy Server,{0CCE9243-69AE-11D9-BED3-505054503030},Success and Failure,
WS2016,System,User / Device Claims,{0CCE9247-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Group Membership,{0CCE9249-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Access Rights,{0CCE924B-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,File System,{0CCE921D-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Registry,{0CCE921E-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Kernel Object,{0CCE921F-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Certification Services,{0CCE9221-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Application Generated,{0CCE9222-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Handle Manipulation,{0CCE9223-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,File Share,{0CCE9224-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Filtering Platform Packet Drop,{0CCE9225-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Filtering Platform Connection,{0CCE9226-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Other Object Access Events,{0CCE9227-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Detailed File Share,{0CCE9244-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Removable Storage,{0CCE9245-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Central Policy Staging,{0CCE9246-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Non Sensitive Privilege Use,{0CCE9229-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Other Privilege Use Events,{0CCE922A-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Sensitive Privilege Use,{0CCE9228-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Process Creation,{0CCE922B-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Process Termination,{0CCE922C-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,DPAPI Activity,{0CCE922D-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,RPC Events,{0CCE922E-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Plug and Play Events,{0CCE9248-69AE-11D9-BED3-505054503030},No Auditing,
